Title,Product URL,SKU,Image URL,Price,Stock,Available,Option#1
Plastic Volumetric Flask,https://labequipsupply.co.za/product/plastic-volumetric-flask/?attribute_volume=Volumetric+flask100ml,RLS-PW-PVF100,https://labequipsupply.co.za/wp-content/uploads/2019/09/Plastic-Volumetric-Flask-RLS.jpg,R114.26,61 in stock (can be backordered),Yes,Volume: Volumetric flask100ml
Plastic Volumetric Flask,https://labequipsupply.co.za/product/plastic-volumetric-flask/?attribute_volume=Volumetric+flask+50ml,RLS-PW-PVF50,https://labequipsupply.co.za/wp-content/uploads/2019/09/Plastic-Volumetric-Flask-RLS.jpg,R96.53,64 in stock (can be backordered),Yes,Volume: Volumetric flask 50ml
Plastic Volumetric Flask,https://labequipsupply.co.za/product/plastic-volumetric-flask/?attribute_volume=Volumetric+flask+25ml,RLS-PW-PVF25,https://labequipsupply.co.za/wp-content/uploads/2019/09/Plastic-Volumetric-Flask-RLS.jpg,R74.86,,Yes,Volume: Volumetric flask 25ml
Plastic Erlenmeyer Flask,https://labequipsupply.co.za/product/plastic-erlenmeyer-flask/?attribute_volume=Erlenmeyer+flask+500ml,RLS-PW-PEF500,https://labequipsupply.co.za/wp-content/uploads/2019/09/Reflecta-Plastic-Erlenmeyer-Flask.jpg,R76.83,76 in stock (can be backordered),Yes,Volume: Erlenmeyer flask 500ml
Plastic Erlenmeyer Flask,https://labequipsupply.co.za/product/plastic-erlenmeyer-flask/?attribute_volume=Erlenmeyer+flask+250ml,RLS-PW-PEF250,https://labequipsupply.co.za/wp-content/uploads/2019/09/Reflecta-Plastic-Erlenmeyer-Flask.jpg,R55.16,57 in stock (can be backordered),Yes,Volume: Erlenmeyer flask 250ml
Plastic Erlenmeyer Flask,https://labequipsupply.co.za/product/plastic-erlenmeyer-flask/?attribute_volume=Erlenmeyer+flask100ml,RLS-PW-PEF100,https://labequipsupply.co.za/wp-content/uploads/2019/09/Reflecta-Plastic-Erlenmeyer-Flask.jpg,R39.64,71 in stock (can be backordered),Yes,Volume: Erlenmeyer flask100ml
Evaporating Dishes,https://labequipsupply.co.za/product/evaporating-dishes/?attribute_volume=2500ML,,https://labequipsupply.co.za/wp-content/uploads/2019/09/evaportating-dish.jpg,R1007.58,,Yes,Volume: 2500ML
Evaporating Dishes,https://labequipsupply.co.za/product/evaporating-dishes/?attribute_volume=1500ML,,https://labequipsupply.co.za/wp-content/uploads/2019/09/evaportating-dish.jpg,R784.62,,Yes,Volume: 1500ML
Evaporating Dishes,https://labequipsupply.co.za/product/evaporating-dishes/?attribute_volume=600ML,,https://labequipsupply.co.za/wp-content/uploads/2019/09/evaportating-dish.jpg,R569.39,,Yes,Volume: 600ML
Evaporating Dishes,https://labequipsupply.co.za/product/evaporating-dishes/?attribute_volume=320ML,,https://labequipsupply.co.za/wp-content/uploads/2019/09/evaportating-dish.jpg,R465.35,,Yes,Volume: 320ML
Evaporating Dishes,https://labequipsupply.co.za/product/evaporating-dishes/?attribute_volume=290ML,,https://labequipsupply.co.za/wp-content/uploads/2019/09/evaportating-dish.jpg,R303.33,,Yes,Volume: 290ML
Evaporating Dishes,https://labequipsupply.co.za/product/evaporating-dishes/?attribute_volume=170ML,,https://labequipsupply.co.za/wp-content/uploads/2019/09/evaportating-dish.jpg,R282.74,,Yes,Volume: 170ML
Evaporating Dishes,https://labequipsupply.co.za/product/evaporating-dishes/?attribute_volume=90ML,,https://labequipsupply.co.za/wp-content/uploads/2019/09/evaportating-dish.jpg,R185.57,,Yes,Volume: 90ML
Evaporating Dishes,https://labequipsupply.co.za/product/evaporating-dishes/?attribute_volume=45ML,,https://labequipsupply.co.za/wp-content/uploads/2019/09/evaportating-dish.jpg,R157.37,,Yes,Volume: 45ML
Evaporating Dishes,https://labequipsupply.co.za/product/evaporating-dishes/?attribute_volume=15ML,,https://labequipsupply.co.za/wp-content/uploads/2019/09/evaportating-dish.jpg,R143.71,,Yes,Volume: 15ML
Bottle Top Dispensers,https://labequipsupply.co.za/product/bottle-top-dispenser/?attribute_range=Volume+Range%3A+0.1-99.9ml,,https://labequipsupply.co.za/wp-content/uploads/2019/09/Bottle-Top-Dispenser-RLS.jpg,R12133.33,,Yes,Range: Volume Range: 0.1-99.9ml
Pipette Controller,https://labequipsupply.co.za/product/pipette-controller/?attribute_range=Pipette+Controller+Volume%3A+0.1+-+100ml,,https://labequipsupply.co.za/wp-content/uploads/2019/09/Pipette-Controller-RLS.jpg,R3553.51,5 in stock (can be backordered),Yes,Range: Pipette Controller Volume: 0.1 - 100ml
Multi Channel Pipette,https://labequipsupply.co.za/product/multi-channel-pipette/?attribute_volume=Volume+Range%3A+0.5-10μl,,https://labequipsupply.co.za/wp-content/uploads/2019/09/Eight-Channel-Pipette-RLS.jpg,R4262.64,4 in stock (can be backordered),Yes,Volume: Volume Range: 0.5-10μl
Multi Channel Pipette,https://labequipsupply.co.za/product/multi-channel-pipette/?attribute_volume=Volume+Range%3A+5-50μl,,https://labequipsupply.co.za/wp-content/uploads/2019/09/Eight-Channel-Pipette-RLS.jpg,R4266.66,5 in stock (can be backordered),Yes,Volume: Volume Range: 5-50μl
Multi Channel Pipette,https://labequipsupply.co.za/product/multi-channel-pipette/?attribute_volume=Volume+Range%3A+50-+300μl,,https://labequipsupply.co.za/wp-content/uploads/2019/09/Eight-Channel-Pipette-RLS.jpg,R4266.66,5 in stock (can be backordered),Yes,Volume: Volume Range: 50- 300μl
